"Planets, Spacecrafts, and Station",8,"All-Fates Stalker is such an inspired design and a really clever use of warp. This is already excellent as a 4-drop Banisher Priest, but it also has the mode that lets you flicker a creature for 2 mana by using its warp cost. Flickering is especially good here because you can use it to bypass another warped creature’s delayed exile trigger. This is an excellent card all around and honestly an early pick for mythic uncommon."
Warp,8,"All-Fates Stalker is such an inspired design and a really clever use of warp. This is already excellent as a 4-drop Banisher Priest, but it also has the mode that lets you flicker a creature for 2 mana by using its warp cost. Flickering is especially good here because you can use it to bypass another warped creature’s delayed exile trigger. This is an excellent card all around and honestly an early pick for mythic uncommon."
Void,8,"All-Fates Stalker is such an inspired design and a really clever use of warp. This is already excellent as a 4-drop Banisher Priest, but it also has the mode that lets you flicker a creature for 2 mana by using its warp cost. Flickering is especially good here because you can use it to bypass another warped creature’s delayed exile trigger. This is an excellent card all around and honestly an early pick for mythic uncommon."
Lander Tokens,8,"All-Fates Stalker is such an inspired design and a really clever use of warp. This is already excellent as a 4-drop Banisher Priest, but it also has the mode that lets you flicker a creature for 2 mana by using its warp cost. Flickering is especially good here because you can use it to bypass another warped creature’s delayed exile trigger. This is an excellent card all around and honestly an early pick for mythic uncommon."
All-Fates Stalker,8,"All-Fates Stalker is such an inspired design and a really clever use of warp. This is already excellent as a 4-drop Banisher Priest, but it also has the mode that lets you flicker a creature for 2 mana by using its warp cost. Flickering is especially good here because you can use it to bypass another warped creature’s delayed exile trigger. This is an excellent card all around and honestly an early pick for mythic uncommon."
Astelli Reclaimer,5,"This looks like it could be quite powerful, but noncreature, nonland permanent cards don’t end up in the graveyard anywhere near as often as every other kind of card. Of course, getting anything back is fantastic, but you need to set it up in some way. It’s nice that Astelli Reclaimer works with spacecraft, which will end up in the graveyard if they become creatures and then trade off."
Auxiliary Boosters,3,"It’s been a while since a vanilla 3/4 flier for 5 mana has been good enough to run. Auxiliary Boosters shows some promise though, as leaving behind a very decent equipment after it dies is a tried and true formula for success."
Banishing Light,5,"Banishing Light is always good to see. This is premium white removal that answers nearly everything. It’s vulnerable to enchantment removal of course, but that shouldn’t deter you from taking it for just about any white deck."
Beyond the Quiet,8,"Board wipes are usually pretty good, and Beyond the Quiet’s exiling is certainly a nice upgrade over your usual wraths. Five mana is expensive enough that you probably won’t be able to afford any follow-up creatures, but this is still something you can play into if you don’t commit too many of your own creatures to the board before you cast it."
Brightspear Zealot,2,"Even in the double spell deck, you presumably won’t double spell every turn. As such, Brightspear Zealot is going to be a 2/4 on the board a lot more often than it’ll be a 4/4. This is fine, but more than likely just filler and definitely not something that pulls you into the archetype."
